miRNA,disease,reference
hsa-mir-132,Wounds and Injuries,HMDD
hsa-mir-132,Scleroderma and Systemic,HMDD
hsa-mir-132,Hidradenitis Suppurativa,HMDD
hsa-mir-132,Huntington Disease,HMDD
hsa-mir-132,Leukemia and Myeloid and Acute,HMDD
hsa-mir-132,Fatty Liver,HMDD
hsa-mir-132,Mouth Neoplasms,HMDD
hsa-mir-132,Carcinoma and Hepatocellular,HMDD
hsa-mir-132,Aspergillosis and Allergic Bronchopulmonary,HMDD
hsa-mir-132,Uterine Cervical Neoplasms,HMDD
hsa-mir-132,Sepsis,HMDD
hsa-mir-132,Lung Injury,HMDD
hsa-mir-132,Kidney Failure and Chronic,HMDD
hsa-mir-132,Cognition Disorders,HMDD
hsa-mir-132,Melanoma,HMDD
hsa-mir-132,Brain Injuries,HMDD
hsa-mir-132,Sjogren's Syndrome,HMDD
hsa-mir-132,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-132,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-132,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-132,Epilepsy and Generalized,HMDD
hsa-mir-132,Epilepsy and Temporal Lobe,HMDD
hsa-mir-132,Hepatitis B and Chronic,HMDD
hsa-mir-132,Multiple Myeloma,HMDD
hsa-mir-132,Pancreatic Carcinoma,HMDD
hsa-mir-132,Polycystic Ovary Syndrome,HMDD
hsa-mir-132,Diabetic Nephropathies,HMDD
hsa-mir-132,Fetal Growth Retardation,HMDD
hsa-mir-132,Hepatoblastoma,HMDD
hsa-mir-132,Diabetic Retinopathy,HMDD
hsa-mir-132,Cardiomyopathies,HMDD
hsa-mir-132,Testicular Damage,HMDD
hsa-mir-132,Subarachnoid Hemorrhage,HMDD
hsa-mir-132,Peripheral Nerve Injuries,HMDD
hsa-mir-132,Perinatal Asphyxia,HMDD
hsa-mir-132,Gastrointestinal Diseases,HMDD
hsa-mir-132,Rett Syndrome,HMDD
hsa-mir-132,Obsessive-Compulsive Disorder,HMDD
hsa-mir-132,Neurodegenerative Diseases,HMDD
hsa-mir-132,Myocardial Reperfusion Injury,HMDD
hsa-mir-132,Cognitive Dysfunction,HMDD
hsa-mir-132,Lupus Erythematosus and Systemic,HMDD
hsa-mir-132,Mixed Connective Tissue Disease,HMDD
hsa-mir-132,Opioid-Related Disorders,HMDD
hsa-mir-132,Hypertrophy,HMDD
hsa-mir-132,Thyroid Neoplasms,HMDD
hsa-mir-132,Nasopharyngeal Carcinoma,HMDD
hsa-mir-132,Arteritis,HMDD
hsa-mir-132,Periodontitis,HMDD
hsa-mir-181c,Metabolic Syndrome,HMDD
hsa-mir-181c,lung cancer,HMDD
hsa-mir-181c,Alzheimer Disease,HMDD
hsa-mir-181c,Reperfusion Injury,HMDD
hsa-mir-181c,Cerebrovascular Disorders,HMDD
hsa-mir-181c,Myocardial Infarction,HMDD
hsa-mir-181c,Influenza and Human,HMDD
hsa-mir-181c,Cognition Disorders,HMDD
hsa-mir-181c,Cerebral Cortical Thinning,HMDD
hsa-mir-181c,Hypoxia and Brain,HMDD
hsa-mir-181c,Ciliary Motility Disorders,HMDD
hsa-mir-181c,Leukemia and Lymphocytic and Chronic and B-Cell,HMDD
hsa-mir-181c,Heart Failure,HMDD
hsa-mir-181c,Ovarian Neoplasms,HMDD
hsa-mir-181c,Diabetes Mellitus,HMDD
hsa-mir-181c,Diabetes Mellitus and Type 1,HMDD
hsa-mir-181c,Neurodegenerative Diseases,HMDD
hsa-mir-181c,Multiple Sclerosis,HMDD
hsa-mir-181c,Osteosarcoma,HMDD
hsa-mir-181c,breast cancer,HMDD
hsa-mir-181c,Stroke,HMDD
hsa-mir-181c,Mucocutaneous Lymph Node Syndrome,HMDD
hsa-mir-181c,Obesity,HMDD
hsa-mir-181c,Central Nervous System and Non-Infectious,HMDD
hsa-mir-181c,Neuroblastoma,HMDD
hsa-mir-181c,Irritable Bowel Syndrome,HMDD
hsa-mir-181c,Inflammation,HMDD
hsa-mir-181c,Fetal Growth Retardation,HMDD
hsa-mir-181c,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-181c,Hyperemia,HMDD
hsa-mir-181c,Diabetic Angiopathies,HMDD
hsa-mir-181c,Alveolar echinococcosis,HMDD
hsa-mir-181c,Urinary Bladder Neoplasms,HMDD
hsa-mir-181c,Familial Mediterranean Fever,HMDD
hsa-mir-181c,Osteoporosis,HMDD
hsa-mir-181c,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-181c,Coronary Artery Disease,HMDD
hsa-mir-181c,Neuralgia,HMDD
hsa-mir-181c,Cartilage Diseases,HMDD
hsa-mir-181c,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-181c,Acquired Immunodeficiency Syndrome,HMDD
hsa-mir-181c,Hypoxia-Ischemia and Brain,HMDD
hsa-mir-181c,Parkinson Disease,HMDD
hsa-mir-181c,Glioblastoma,HMDD
hsa-mir-338,Glioblastoma,HMDD
hsa-mir-338,Diabetes Mellitus,HMDD
hsa-mir-338,Prostatic Neoplasms,HMDD
hsa-mir-338,Kidney Diseases,HMDD
hsa-mir-338,Cranial Nerve Injuries,HMDD
hsa-mir-338,Fibrosis,HMDD
hsa-mir-338,Spinal Cord Injuries,HMDD
hsa-mir-338,Pulmonary Fibrosis,HMDD
hsa-mir-338,Pneumonia,HMDD
hsa-mir-338,Sepsis,HMDD
hsa-mir-338,Bloom Syndrome,HMDD
hsa-mir-338,Sveinsson Chorioretinal Atrophy,HMDD
hsa-mir-338,Siderosis,HMDD
hsa-mir-338,Sarcoidosis,HMDD
hsa-mir-338,Hemorrhagic Fever with Renal Syndrome,HMDD
hsa-mir-338,Colorectal Neoplasms,HMDD
hsa-mir-338,Osteoarthritis,HMDD
hsa-mir-338,lung cancer,HMDD
hsa-mir-338,Obesity,HMDD
hsa-mir-338,Acute Kidney Injury,HMDD
hsa-mir-338,Neuroblastoma,HMDD
hsa-mir-338,Stomach Neoplasms,HMDD
hsa-mir-338,Retinoblastoma,HMDD
hsa-mir-338,Carcinoma and Hepatocellular,HMDD
hsa-mir-338,Liver Cirrhosis,HMDD
hsa-mir-338,Osteoporosis and Postmenopausal,HMDD
hsa-mir-338,Familial Primary Pulmonary Hypertension,HMDD
hsa-mir-338,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-338,Leukemia and Myeloid and Acute,HMDD
hsa-mir-338,Arthritis and Rheumatoid,HMDD
hsa-mir-338,Acute Lung Injury,HMDD
hsa-mir-338,Osteosarcoma,HMDD
hsa-mir-338,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-338,Nasopharyngeal Carcinoma,HMDD
hsa-mir-338,Liver Neoplasms,HMDD
hsa-mir-338,Osteoporosis,HMDD
hsa-mir-338,Respiratory Distress Syndrome,HMDD
hsa-mir-338,Respiratory Distress Syndrome and Newborn,HMDD
hsa-mir-338,Carcinoma and Renal Cell,HMDD
hsa-mir-338,Uterine Cervical Neoplasms,HMDD
hsa-mir-338,Amyotrophic Lateral Sclerosis,HMDD
hsa-mir-338,Hypoxia-Ischemia and Brain,HMDD
hsa-mir-338,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-338,Brain Ischemia,HMDD
hsa-mir-338,Multiple Myeloma,HMDD
hsa-mir-338,Urinary Bladder Neoplasms,HMDD
hsa-mir-338,Cystadenocarcinoma and Serous and Ovarian,HMDD
hsa-mir-338,Glioma,HMDD
hsa-mir-338,breast cancer,HMDD
hsa-mir-338,Atherosclerosis,HMDD
hsa-mir-338,Status Asthmaticus,HMDD
hsa-mir-338,Diabetes Mellitus and Type 1,HMDD
hsa-mir-338,Parkinson Disease,HMDD
hsa-mir-338,Neuralgia,HMDD
hsa-mir-338,Nasopharyngeal Neoplasms,HMDD
hsa-mir-338,Pancreatic Carcinoma,HMDD
hsa-mir-338,Ovarian Neoplasms,HMDD
hsa-mir-338,Cerebral Infarction and Acute,HMDD
hsa-mir-338,Thyroid Neoplasms,HMDD
hsa-mir-338,Chorioamnionitis,HMDD
hsa-mir-338,Colonic Neoplasms,HMDD
hsa-mir-38,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-338,Cardiomyopathies,HMDD
hsa-mir-338,Pulmonary Eosinophilia,HMDD
hsa-mir-338,Hypertension and Pregnancy-Induced,HMDD
hsa-mir-338,Keratitis and Herpetic,HMDD
hsa-mir-338,Brain Neoplasms,HMDD
hsa-mir-338,Atrial Fibrillation,HMDD
hsa-mir-338,Growth Disorders,HMDD
hsa-mir-338,Venous Thrombosis,HMDD
hsa-mir-338,Complex Regional Pain Syndromes,HMDD
hsa-mir-338,Astrocytoma,HMDD
hsa-mir-338,pancreatic cancer,HMDD
hsa-mir-338,Myocardial Infarction,HMDD
hsa-mir-340,lung cancer,HMDD
hsa-mir-340,Diabetes Mellitus,HMDD
hsa-mir-340,Reperfusion Injury,HMDD
hsa-mir-340,Ischemic Stroke,HMDD
hsa-mir-340,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-340,Hypertension and Pulmonary,HMDD
hsa-mir-340,Cholangiocarcinoma,HMDD
hsa-mir-340,Insulin Resistance,HMDD
hsa-mir-340,Stroke,HMDD
hsa-mir-40,Duane Retraction Syndrome,HMDD
hsa-mir-340,Hyperlipidemias,HMDD
hsa-mir-340,Osteoporosis and Postmenopausal,HMDD
hsa-mir-340,Laryngeal Neoplasms,HMDD
hsa-mir-340,Diabetes and Gestational,HMDD
hsa-mir-340,Familial Mediterranean Fever,HMDD
hsa-mir-340,Pancreatitis and Chronic,HMDD
hsa-mir-340,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-340,Glioma,HMDD
hsa-mir-340,Osteosarcoma,HMDD
hsa-mir-340,Carcinoma and Renal Cell,HMDD
hsa-mir-340,Cerebral Hemorrhage,HMDD
hsa-mir-340,Brain Injuries,HMDD
hsa-mir-340,Colonic Neoplasms,HMDD
hsa-mir-340,Arthritis and Rheumatoid,HMDD
hsa-mir-340,Pulmonary Fibrosis,HMDD
hsa-mir-340,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-340,Leukemia and Myeloid and Acute,HMDD
hsa-mir-340,Multiple Myeloma,HMDD
hsa-mir-340,Moyamoya Disease,HMDD
hsa-mir-340,Endometriosis,HMDD
hsa-mir-340,Pancreatitis,HMDD
hsa-mir-340,Cardiomyopathies,HMDD
hsa-mir-340,Myocardial Reperfusion Injury,HMDD
hsa-mir-340,Incisional Pain,HMDD
hsa-mir-340,Glomerulonephritis and Membranous,HMDD
hsa-mir-340,Carcinoma and Hepatocellular,HMDD
hsa-mir-340,Spinal Cord Injuries,HMDD
hsa-mir-340,Glioblastoma,HMDD
hsa-mir-340,Neuralgia,HMDD
hsa-mir-340,Pancreatic Carcinoma,HMDD
hsa-mir-340,Hepatitis B,HMDD
hsa-mir-340,Endometrial Neoplasms,HMDD
hsa-mir-340,Cardiomegaly,HMDD
hsa-mir-340,Diabetes Mellitus and Type 2,HMDD
hsa-mir-340,Urinary Bladder Neoplasms,HMDD
hsa-mir-340,von Hippel-Lindau Disease,HMDD
hsa-mir-340,Mouth Neoplasms,HMDD
hsa-mir-340,Diabetic Nephropathies,HMDD
hsa-mir-340,Subarachnoid Hemorrhage,HMDD
hsa-mir-340,Stomach Neoplasms,HMDD
hsa-mir-340,Uterine Cervical Neoplasms,HMDD
hsa-mir-340,Retinoblastoma,HMDD
hsa-mir-340,Leishmaniasis,HMDD
hsa-mir-340,Myocardial Infarction,HMDD
hsa-mir-340,Gynatresia,HMDD
hsa-mir-340,Liver Neoplasms,HMDD
hsa-mir-340,Influenza and Human,HMDD
hsa-mir-40,Stomach Neoplasms,HMDD
hsa-mir-181a,Liver Cirrhosis,HMDD
hsa-mir-181a,Diabetes Mellitus,HMDD
hsa-mir-181a,Prostatic Neoplasms,HMDD
hsa-mir-181a,Heart Failure,HMDD
hsa-mir-181a,Alzheimer Disease,HMDD
hsa-mir-181a,Osteoarthritis,HMDD
hsa-mir-181a,Inflammation,HMDD
hsa-mir-181a,Primary Graft Dysfunction,HMDD
hsa-mir-181a,Hypoxia,HMDD
hsa-mir-181a,Osteosarcoma,HMDD
hsa-mir-181a,Colorectal Neoplasms,HMDD
hsa-mir-181a,Ataxia Neuropathy Spectrum,HMDD
hsa-mir-181a,Ovarian Neoplasms,HMDD
hsa-mir-181a,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-181a,Liver Neoplasms,HMDD
hsa-mir-181a,Leukemia,HMDD
hsa-mir-181a,Carcinoma and Hepatocellular,HMDD
hsa-mir-181a,Dmd-Associated Dilated Cardiomyopathy,HMDD
hsa-mir-181a,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-181a,Aicardi-Goutieres syndrome 5,HMDD
hsa-mir-181a,Pre-Eclampsia,HMDD
hsa-mir-181a,Ovarian Diseases,HMDD
hsa-mir-181a,Liver Diseases,HMDD
hsa-mir-181a,Myocardial Infarction,HMDD
hsa-mir-181a,Myocardial Ischemia,HMDD
hsa-mir-181a,Li-Fraumeni Syndrome,HMDD
hsa-mir-181a,Aspermia,HMDD
hsa-mir-181a,Fractures and Bone,HMDD
hsa-mir-181a,Osteoporosis-pseudoglioma syndrome,HMDD
hsa-mir-181a,Chronic Disease,HMDD
hsa-mir-181a,Mastitis,HMDD
hsa-mir-181a,Sveinsson Chorioretinal Atrophy,HMDD
hsa-mir-181a,Kidney Neoplasms,HMDD
hsa-mir-181a,Sarcopenia,HMDD
hsa-mir-181a,Asymptomatic Infections,HMDD
hsa-mir-181a,Lissencephaly,HMDD
hsa-mir-181a,Anovulation,HMDD
hsa-mir-181a,Leukemia and Myelogenous and Chronic and BCR-ABL Positive,HMDD
hsa-mir-181a,Blood Platelet Disorders,HMDD
hsa-mir-181a,Leigh Disease,HMDD
hsa-mir-181a,Multiple Chronic Conditions,HMDD
hsa-mir-181a,Gastrointestinal Diseases,HMDD
hsa-mir-181a,Primary Ovarian Insufficiency,HMDD
hsa-mir-181a,Tic Disorders,HMDD
hsa-mir-181a,Poisoning,HMDD
hsa-mir-181a,Intestinal Atresia,HMDD
hsa-mir-181a,Uveitis,HMDD
hsa-mir-181a,Hair Diseases,HMDD
hsa-mir-181a,Autistic Disorder,HMDD
hsa-mir-181a,Colonic Neoplasms,HMDD
hsa-mir-181a,Hepatitis B and Chronic,HMDD
hsa-mir-181a,Placenta Diseases,HMDD
hsa-mir-181a,Femur Head Necrosis,HMDD
hsa-mir-181a,Cognitive Dysfunction,HMDD
hsa-mir-181a,Atrial Fibrillation,HMDD
hsa-mir-181a,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-181a,Thrombocytopenia,HMDD
hsa-mir-181a,Nephrotic Syndrome,HMDD
hsa-mir-181a,Osteitis Deformans,HMDD
hsa-mir-181a,Muscular Atrophy and Spinal,HMDD
hsa-mir-181a,Hyperpigmentation and Skin,HMDD
hsa-mir-181a,Pancreatitis,HMDD
hsa-mir-181a,Fibrous Dysplasia of Bone,HMDD
hsa-mir-181a,Hepatitis C,HMDD
hsa-mir-181a,Thyroid Cancer and Papillary,HMDD
hsa-mir-181a,Diabetic Cardiomyopathies,HMDD
hsa-mir-181a,Alveolar echinococcosis,HMDD
hsa-mir-181a,Parkinson Disease,HMDD
hsa-mir-181a,Diabetes Mellitus and Type 2,HMDD
hsa-mir-181a,Cystic Fibrosis,HMDD
hsa-mir-181a,Ossification of Posterior Longitudinal Ligament,HMDD
hsa-mir-181a,Precursor Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-181a,breast cancer,HMDD
hsa-mir-181a,Familial Mediterranean Fever,HMDD
hsa-mir-181a,Glioblastoma,HMDD
hsa-mir-181a,Leukemia and Myeloid and Acute,HMDD
hsa-mir-181a,Sepsis,HMDD
hsa-mir-181a,Stomach Neoplasms,HMDD
hsa-mir-181a,Uterine Cervical Neoplasms,HMDD
hsa-mir-181a,Uveal melanoma,HMDD
hsa-mir-181a,Lung Injury,HMDD
hsa-mir-181a,Cardiomegaly,HMDD
hsa-mir-181a,Osteoporosis,HMDD
hsa-mir-181a,Progeria,HMDD
hsa-mir-181a,Acute Kidney Injury,HMDD
hsa-mir-181a,Lymphoma and Non-Hodgkin,HMDD
hsa-mir-181a,Ischemic Stroke,HMDD
hsa-mir-181a,Cardiovascular Diseases,HMDD
hsa-mir-181a,Fetal Growth Retardation,HMDD
hsa-mir-181a,Growth Disorders,HMDD
hsa-mir-181a,Hypertension and Pregnancy-Induced,HMDD
hsa-mir-181a,Rhinitis and Allergic,HMDD
hsa-mir-181a,Asthma,HMDD
hsa-mir-181a,Reperfusion Injury,HMDD
hsa-mir-181a,Cognition Disorders,HMDD
hsa-mir-181a,Lacrimal Adenoid   Cystic Carcinoma,HMDD
hsa-mir-181a,Brain Ischemia,HMDD
hsa-mir-181a,Carcinoma and Endometrioid,HMDD
hsa-mir-181a,Rectal Neoplasms,HMDD
hsa-mir-181a,Polycystic Ovary Syndrome,HMDD
hsa-mir-181a,Rhinitis and Allergic and Seasonal,HMDD
hsa-mir-181a,Glioma,HMDD
hsa-mir-181a,Retinal Diseases,HMDD
hsa-mir-181a,Scleroderma and Systemic,HMDD
hsa-mir-181a,Hypertrophy,HMDD
hsa-mir-181a,Cerebral Palsy,HMDD
hsa-mir-181a,Leukemia and Large Granular Lymphocytic,HMDD
hsa-mir-181a,Multiple Myeloma,HMDD
hsa-mir-181a,Head and Neck Neoplasms,HMDD
hsa-mir-181a,Seizures and Febrile,HMDD
hsa-mir-181a,Pancreatic Carcinoma,HMDD
hsa-mir-181a,Nasopharyngeal Carcinoma,HMDD
hsa-mir-181a,Cicatrix and Hypertrophic,HMDD
hsa-mir-181a,Lupus Nephritis,HMDD
hsa-mir-181a,Lupus Erythematosus and Systemic,HMDD
hsa-mir-181a,Depression,HMDD
hsa-mir-181a,Migraine Disorders,HMDD
hsa-mir-181a,Diabetes Mellitus and Type 1,HMDD
hsa-mir-181a,Hypoxia-Ischemia and Brain,HMDD
hsa-mir-181a,Ovarian Neoplasms and High-Grade Serous,HMDD
hsa-mir-181a,Cardiomyopathies,HMDD
hsa-mir-181a,Keratoconus,HMDD
hsa-mir-181a,Autoimmune Diseases,HMDD
hsa-mir-181a,Psychotic Disorders,HMDD
hsa-mir-181a,Arthritis and Rheumatoid,HMDD
hsa-mir-181a,Laryngeal Neoplasms,HMDD
hsa-mir-181a,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-181a,Obesity,HMDD
hsa-mir-181a,Respiratory Distress Syndrome,HMDD
hsa-mir-181a,Pediatric Obesity,HMDD
hsa-mir-181a,Myasthenia Gravis,HMDD
hsa-mir-181a,COVID-19,HMDD
hsa-mir-181a,Graft vs Host Disease,HMDD
hsa-mir-181a,Colitis,HMDD
hsa-mir-181a,Carcinoma and Pancreatic Ductal,HMDD
hsa-mir-181a,Malnutrition,HMDD
hsa-mir-181a,Hematologic Neoplasms,HMDD
hsa-mir-181a,Leukemia and Acute,HMDD
hsa-mir-181a,Pelvic Organ Prolapse,HMDD
hsa-mir-181a,Wilms Tumor,HMDD
hsa-mir-181a,Inflammatory Bowel Diseases,HMDD
hsa-mir-181a,Endocrine System Diseases,HMDD
hsa-mir-181a,Neonatal Sepsis,HMDD
hsa-mir-181a,Mixed Connective Tissue Disease,HMDD
hsa-mir-181a,Lymphoma and B-Cell and Diffuse,HMDD
hsa-mir-181a,Pulmonary Arterial Hypertension,HMDD
hsa-mir-181a,Leukemia and Lymphocytic and Chronic and B-Cell,HMDD
hsa-mir-181a,Diabetic Nephropathies,HMDD
hsa-mir-181a,Retinal Detachment,HMDD
hsa-mir-181a,Drug-Induced Kidney Injury,HMDD
hsa-mir-181a,Lichen Sclerosus et Atrophicus,HMDD
hsa-mir-181a,ST Elevation Myocardial Infarction,HMDD
hsa-mir-181a,Atherosclerosis,HMDD
hsa-mir-181a,Urinary Bladder Neoplasms,HMDD
hsa-mir-181a,Melanoma,HMDD
hsa-mir-22,Muscular Dystrophy and Duchenne,HMDD
hsa-mir-22,Diabetes Mellitus,HMDD
hsa-mir-22,Osteoarthritis,HMDD
hsa-mir-22,Atrial Premature Complexes,HMDD
hsa-mir-22,Hypoxia,HMDD
hsa-mir-22,lung cancer,HMDD
hsa-mir-22,Cataract and Congenital Zonular and with Sutural Opacities,HMDD
hsa-mir-22,Fibrosis,HMDD
hsa-mir-22,Heart Diseases,HMDD
hsa-mir-22,Reperfusion Injury,HMDD
hsa-mir-22,Colorectal Neoplasms,HMDD
hsa-mir-22,Amebiasis,HMDD
hsa-mir-22,Uterine Cervical Neoplasms,HMDD
hsa-mir-22,Carcinoma and Hepatocellular,HMDD
hsa-mir-22,Pulpitis,HMDD
hsa-mir-22,De Lange Syndrome,HMDD
hsa-mir-22,Pre-Eclampsia,HMDD
hsa-mir-22,Arthritis and Rheumatoid,HMDD
hsa-mir-22,Colorectal Neoplasms and Hereditary Nonpolyposis,HMDD
hsa-mir-22,Mitochondrial Diseases,HMDD
hsa-mir-22,Aortic Valve Insufficiency,HMDD
hsa-mir-22,Cardiomegaly,HMDD
hsa-mir-22,Cardiomyopathies,HMDD
hsa-mir-22,Hypertrophy,HMDD
hsa-mir-22,Myocardial Infarction,HMDD
hsa-mir-22,Pneumonia,HMDD
hsa-mir-22,Neurotoxicity Syndromes,HMDD
hsa-mir-22,Human Herpesvirus 6 encephalitis,HMDD
hsa-mir-22,Lipid Metabolism Disorders,HMDD
hsa-mir-22,Moebius syndrome 1,HMDD
hsa-mir-22,Aging and Premature,HMDD
hsa-mir-22,Iron Metabolism Disorders,HMDD
hsa-mir-22,Graft Occlusion and Vascular,HMDD
hsa-mir-22,Cholestasis,HMDD
hsa-mir-22,Ciliary Motility Disorders,HMDD
hsa-mir-22,High Pressure Neurological Syndrome,HMDD
hsa-mir-22,Canavan Disease,HMDD
hsa-mir-22,Heart Valve Diseases,HMDD
hsa-mir-22,Cleft Palate,HMDD
hsa-mir-22,Liver Neoplasms,HMDD
hsa-mir-22,Takayasu Arteritis,HMDD
hsa-mir-22,Melanoma,HMDD
hsa-mir-22,Lewy Body Disease,HMDD
hsa-mir-22,REM Sleep Behavior Disorder,HMDD
hsa-mir-22,Obesity,HMDD
hsa-mir-22,Brugada Syndrome,HMDD
hsa-mir-22,Non-alcoholic Fatty Liver Disease,HMDD
hsa-mir-22,Osteosarcoma,HMDD
hsa-mir-22,Sleep Apnea and Obstructive,HMDD
hsa-mir-22,Supranuclear Palsy and Progressive,HMDD
hsa-mir-22,Parkinson Disease,HMDD
hsa-mir-22,Thyroid Nodule,HMDD
hsa-mir-22,breast cancer,HMDD
hsa-mir-22,Multiple Myeloma,HMDD
hsa-mir-22,Peripheral Nervous System Diseases,HMDD
hsa-mir-22,Alzheimer Disease,HMDD
hsa-mir-22,Venous Thrombosis,HMDD
hsa-mir-22,Squamous Cell Carcinoma of Head and Neck,HMDD
hsa-mir-22,Hepatitis B and Chronic,HMDD
hsa-mir-22,Brain Ischemia,HMDD
hsa-mir-22,Acute Kidney Injury,HMDD
hsa-mir-22,Sepsis,HMDD
hsa-mir-22,Pancreatic Carcinoma,HMDD
hsa-mir-22,Acute Lung Injury,HMDD
hsa-mir-22,Nasal Polyps,HMDD
hsa-mir-22,Nasopharyngitis,HMDD
hsa-mir-22,Wolfram Syndrome,HMDD
hsa-mir-22,Stomach Neoplasms,HMDD
hsa-mir-22,Osteoporosis,HMDD
hsa-mir-22,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-22,Wilms Tumor,HMDD
hsa-mir-22,Metabolic Diseases,HMDD
hsa-mir-22,Endometriosis,HMDD
hsa-mir-22,Urinary Bladder Neoplasms,HMDD
hsa-mir-22,Multiple Sclerosis,HMDD
hsa-mir-22,Coronary Artery Disease,HMDD
hsa-mir-22,Meningioma,HMDD
hsa-mir-22,Diabetic Neuropathies,HMDD
hsa-mir-22,Atherosclerosis,HMDD
hsa-mir-22,Hypertension,HMDD
hsa-mir-22,Tuberculosis,HMDD
hsa-mir-22,Spinal Cord Ischemia,HMDD
hsa-mir-22,Pulmonary Disease and Chronic Obstructive,HMDD
hsa-mir-22,Esophageal Squamous Cell Carcinoma,HMDD
hsa-mir-22,Ovarian Neoplasms and High-Grade Serous,HMDD
hsa-mir-22,Respiratory Tract Infections,HMDD
hsa-mir-22,Tongue Neoplasms,HMDD
hsa-mir-22,Precursor Cell Lymphoblastic Leukemia-Lymphoma,HMDD
hsa-mir-22,Fatty Liver,HMDD
hsa-mir-22,Osteoporosis and Postmenopausal,HMDD
hsa-mir-22,Heart Failure and Chronic,HMDD
hsa-mir-22,Alopecia,HMDD
hsa-mir-22,Myelodysplastic Syndromes,HMDD
hsa-mir-22,Lymphoma and Large B-Cell and Diffuse,HMDD
hsa-mir-22,Glioma,HMDD
hsa-mir-22,Adenomyosis,HMDD
hsa-mir-22,Diabetes and Gestational,HMDD
hsa-mir-22,Coronary Disease,HMDD
hsa-mir-22,Heart Failure,HMDD
hsa-mir-22,Vasculitis,HMDD
hsa-mir-22,Leukemia and Myeloid and Acute,HMDD
hsa-mir-22,Ovarian Neoplasms,HMDD
hsa-mir-22,Ischemic Stroke,HMDD
hsa-mir-22,Depression,HMDD
hsa-mir-22,Depression and Post Stroke,HMDD
hsa-mir-22,Prostatic Neoplasms,HMDD
hsa-mir-22,Encephalitis and Japanese,HMDD
hsa-mir-22,Cholangiocarcinoma,HMDD
hsa-mir-22,Thyroid Neoplasms,HMDD
hsa-mir-22,Myopathies and Structural and Congenital,HMDD
hsa-mir-22,Endometrial Hyperplasia,HMDD
hsa-mir-22,Carcinoma and Mucoepidermoid,HMDD
hsa-mir-22,Spinal Cord Injuries,HMDD
hsa-mir-22,Diabetic Retinopathy,HMDD
hsa-mir-22,Aortic Dissection,HMDD
hsa-mir-22,Diabetic Nephropathies,HMDD
hsa-mir-22,Status Epilepticus,HMDD
hsa-mir-22,Reperfusion Injury and Cerebral Ischemia,HMDD
hsa-mir-22,Carcinoma and Ovarian Epithelial,HMDD
hsa-mir-22,Carcinoma and Renal Cell,HMDD
hsa-mir-22,Glioblastoma,HMDD
hsa-mir-22,Diabetes Mellitus and Type 2,HMDD
hsa-mir-22,Transmissible Gastroenteritis,HMDD
hsa-mir-22,Dmd-Associated Dilated Cardiomyopathy,HMDD
hsa-mir-22,Thyroid Cancer and Papillary,HMDD
hsa-mir-22,Hashimoto Disease,HMDD
hsa-mir-22,Atrial Fibrillation,HMDD
hsa-mir-22,Vascular Calcification,HMDD
hsa-mir-22,Renal Insufficiency and Chronic,HMDD
hsa-mir-22,Cystadenocarcinoma and Serous and Ovarian,HMDD
hsa-mir-22,Classical Swine Fever,HMDD
hsa-mir-22,Neurodegenerative Diseases,HMDD
hsa-mir-29a,Cardiotoxicity,HMDD
hsa-mir-29a,Pituitary Diseases,HMDD
hsa-mir-29a,Inflammation,HMDD
hsa-mir-29a,Osteoporosis,HMDD
hsa-mir-29a,Corneal dystrophy and epithelial basement membrane,HMDD
hsa-mir-29a,Hyperglycemia,HMDD
hsa-mir-29a,Central Nervous System Diseases,HMDD
hsa-mir-29a,Brain Diseases,HMDD
hsa-mir-29a,Glioblastoma,HMDD
hsa-mir-29a,Cardiovascular Diseases,HMDD
hsa-mir-29a,Leukemia,HMDD
hsa-mir-29a,Cerebrovascular Disorders,HMDD
hsa-mir-29a,De Lange Syndrome,HMDD
hsa-mir-29a,Diabetes Mellitus and Type 2,HMDD
hsa-mir-29a,Atrial Fibrillation,HMDD
hsa-mir-29a,Cardiomegaly,HMDD
hsa-mir-29a,Myocardial Infarction,HMDD
hsa-mir-29a,Endomyocardial Fibrosis,HMDD
hsa-mir-29a,Osteochondritis Dissecans,HMDD
